,region,sub-region,13/1/20,14/1/20,15/1/20,16/1/20,17/1/20,18/1/20,19/1/20,20/1/20,21/1/20,22/1/20,23/1/20,24/1/20,25/1/20,26/1/20,27/1/20,28/1/20,29/1/20,30/1/20,31/1/20,1/2/20,2/2/20,3/2/20,4/2/20,5/2/20,6/2/20,7/2/20,8/2/20,9/2/20,10/2/20,11/2/20,12/2/20,13/2/20,14/2/20,15/2/20,16/2/20,17/2/20,18/2/20,19/2/20,20/2/20,21/2/20,22/2/20,23/2/20,24/2/20,25/2/20,26/2/20,27/2/20,28/2/20,29/2/20,1/3/20,2/3/20,3/3/20,4/3/20,5/3/20,6/3/20,7/3/20,8/3/20,9/3/20,10/3/20,11/3/20,12/3/20,13/3/20,14/3/20,15/3/20,16/3/20,17/3/20,18/3/20,19/3/20,20/3/20,21/3/20,22/3/20,23/3/20,24/3/20,25/3/20,26/3/20,27/3/20,28/3/20,29/3/20,30/3/20,31/3/20,1/4/20,2/4/20,3/4/20,4/4/20,5/4/20,6/4/20,7/4/20,8/4/20,9/4/20,10/4/20,11/4/20,12/4/20,13/4/20,14/4/20,15/4/20,16/4/20,17/4/20,18/4/20,19/4/20,20/4/20,21/4/20,22/4/20,23/4/20,24/4/20,25/4/20,26/4/20,27/4/20,28/4/20,29/4/20,30/4/20,1/5/20,2/5/20,3/5/20,4/5/20,5/5/20,6/5/20,7/5/20,8/5/20,9/5/20,10/5/20,11/5/20,12/5/20,13/5/20,14/5/20,15/5/20,16/5/20,17/5/20,18/5/20,19/5/20,20/5/20,21/5/20,22/5/20,23/5/20,24/5/20,25/5/20,26/5/20,27/5/20
10,Bakersfield,California,100,107.1066667,116.4833333,112.7666667,133.0766667,125.45,95.37666667,106.5566667,129.45,125.59,122.6,130.2466667,125.4533333,83.23333333,115.9266667,116.2033333,111.8033333,114.49,136.0933333,129.8933333,83.45333333,121.5966667,115.69,118.71,115.2366667,135.72,130.37,88.69666667,121.1833333,125.8366667,128.3333333,131.4766667,146.9333333,124.8833333,97.47333333,114.4366667,124.4,127.3366667,130.8233333,147.67,134.9933333,102.0366667,120.5133333,127,127.6733333,131.34,156.8,145.46,103.32,127.1566667,129.0766667,128.9766667,129.82,141.49,126.3933333,94.97,114.1166667,111.0133333,115.47,115.21,131.0566667,119.86,83.09333333,94.87666667,97.11333333,93.24666667,85.99333333,85.95666667,66.7,57.22,73.31333333,70.06,64.79,66.67,76.88666667,60.80666667,50.75,70.83333333,70.27,71.18,73.11666667,79.28666667,66.47333333,52.49666667,65.65,65.45666667,60.44333333,63.28666667,80.71333333,66.32,51.24666667,72.3,75.74333333,81.51666667,85.29333333,80.01666667,70.65666667,62.69,80.25,79.84666667,79.47333333,80.8,88.91,80.13666667,67.79,86.21333333,86.87333333,85.60666667,90.57,104.9533333,89.74666667,75.09666667,95.99333333,96.72333333,95.48333333,101.0966667,112.4966667,105.9966667,77.43666667,81.80089448,81.37889931,107.2466667,110.0066667,125.5033333,107.3966667,88.48333333,112.16,118,116.9466667,120.48,137.16,116.2866667,99.36,98.23666667,122.3866667,120.4
11,Baltimore,Maryland,100,103.4266667,112.3366667,110.9633333,122.55,91.75666667,81.15,89.23333333,99.15666667,102.4133333,106.0833333,120.89,119.2,85.41666667,103.1566667,100.6466667,101.52,102.33,121.5233333,113.09,80.29666667,102.2433333,107.1133333,101.76,103.0666667,116.1433333,117.9933333,88.54,99.51,103.0233333,106.1,112.4566667,138.99,128.8866667,97.16333333,106.4966667,114.9366667,115.8733333,114.3066667,128.9133333,132.68,94.59333333,107.1733333,105.01,107.8266667,107.1966667,129.24,125.83,93.52666667,106.3233333,109.04,116.9766667,117.1466667,132.6233333,137.9466667,97.3,117.1633333,110.7233333,107.4933333,105.0366667,113.9933333,105.44,70.80666667,76.13333333,71.39,69.79,68.50333333,74.68333333,61.67333333,49.62333333,52.47666667,56.65,50.75333333,60.70666667,65.86666667,53.04666667,46.10666667,55.67666667,46.28666667,49.07,51.41,58.23333333,52.05666667,48.27666667,54.63666667,52.41666667,56.99,54.10666667,57.23,57.65666667,44.24666667,50.13,56.14,59.84333333,58.28666667,65.91666667,59.20333333,54.34666667,62.32666667,57.68333333,62.57,58.8,64.82666667,66.39666667,48.33666667,61.78333333,62.03333333,66.4,57.88,75.10333333,78.62666667,59.71666667,70.37333333,69.14333333,64.14333333,74.53333333,75.42666667,75.68666667,64.35333333,66.15208895,65.6692925,78.75333333,79.93666667,99.44,96.38,72.29,79.41666667,82.49333333,84.52666667,87.00666667,89.80666667,100.0133333,78.54666667,82.47,90.01,90.59666667
12,Birmingham,Alabama,100,100.2566667,100.9466667,104.5,120.7933333,123.7766667,85.8,100.3166667,96.87,102.13,103.6866667,128.5666667,125.9,73.95333333,101.1333333,100.4633333,101.24,105.69,124.6333333,122.34,81.99666667,97.69666667,99.32666667,100.3166667,107.06,117.1966667,123.8033333,84.02,96.90333333,99.44,106.3233333,115.8,138.2433333,128.37,88.60333333,105.33,103.5333333,113.5866667,106.7,142.3766667,129.5933333,77.67,107.3866667,114.5366667,111.9033333,118.2533333,138.72,141.9633333,86.41333333,99.96,113.0333333,102.19,117.9233333,146.7333333,154.2433333,87.99333333,104.4333333,113.89,106.6833333,118.69,114.7466667,114.23,69.07333333,83.75333333,78.04333333,72.11,71.54666667,71.26666667,62.39333333,42.20333333,54.54666667,58.11666667,62.10666667,63.77,66.12666667,58.09666667,45.82666667,58.58,54.36666667,62.17,59.58,65.92333333,54.75,41.01,54.07,52.62333333,56.96,63.77333333,66.18666667,59.46666667,30.54333333,62.79333333,66.95666667,65.00666667,70.89333333,75.67333333,70.33,41.03333333,72.47333333,75.84333333,69.14,65.77,78.1,72.02666667,56.78,74.76666667,75.19333333,73.46666667,78.75666667,89.71666667,81.41333333,64.51333333,80.03333333,82.97,89.37333333,86.89333333,87.25666667,90.30666667,65.40666667,71.49220323,71.15501517,95.73,103.2633333,111.07,100.5133333,75.39333333,96.73333333,106.8166667,107.1233333,109.2733333,117.1266667,103.7033333,78.59333333,79.02,96.05333333,102.2966667
13,Boise,Idaho,100,104.665,111.115,112.99,136.66,130.705,81.98,99.19,100.47,111.795,112.2,134.22,127.71,73.42,101.88,105.39,111.97,108.88,134.76,143.025,69.545,97.705,107.16,104.355,108.405,144.765,135.655,87.825,105.515,113.135,119.895,129.88,163.175,135.365,88.65,109.58,109.8,114.585,121.305,160.475,158.805,89.78,114.275,118.855,117.34,134.825,170.145,155.31,92.58,108.585,114.395,115.02,139.955,175.72,159.285,93.61,114.84,127.525,126.065,123.8,138.6,119.06,71.87,94.35,90.1,82.87,86.56,89.12,75.415,56.355,67.2,67.495,62.55,55.425,62.98,56.25,42.54,56.195,61.41,60.635,60.845,66.085,59.14,45.475,63.505,67.09,71.665,70.725,82.75,67.35,39.11,65.73,67.755,69.36,74.16,83.83,72.775,58.995,79.565,79.4,77.92,73.85,88.995,80.8,63.21,78.31,84.855,89.06,86.45,108.495,94.42,70.94,97.85,99.345,93.425,103.045,115.575,111.48,72.78,80.05218879,79.7296678,107.62,106.5,128.76,126.47,94.73,110.56,117.495,111.9,130.675,151.96,139.03,107.255,110.775,141.935,145.525
14,Boston,Massachusetts,100,102.47,109.15,107,116.2033333,111.66,95.59666667,98.62666667,100.08,102.8833333,107.0266667,127.2033333,123.3333333,95.3,94.91333333,98.97666667,101.4033333,107.66,127.5266667,129.2833333,86.27333333,96.26666667,101.4466667,101.2333333,98.78666667,121.47,128.3833333,91.33666667,94.24,98.65666667,105.2633333,109.6033333,136.08,134.0533333,108.1833333,105.55,103.3466667,110.9433333,111.1366667,127.77,133.8433333,97.98666667,100.7833333,103.6466667,105.67,113.5733333,131.3166667,133.39,95.57333333,98.23333333,112.91,100.8766667,112.0466667,122.6166667,121.7933333,96.12666667,105.21,97.67666667,91.42,80.19666667,77.76333333,76.11666667,53.77666667,50.59,42.25333333,45.43666667,35.55333333,44.12666667,39.71666667,29.84,30.31666667,31.15666667,28.65666667,33.27666667,38.08,34.8,22.30666667,28.07333333,31.46,29.74333333,27.43,28.03333333,33.06,28.26666667,33.05333333,33.73,29.65666667,27.40666667,33.03666667,34.54666667,26.00666667,25.12666667,34.50333333,33.72666667,31.38666667,35.66333333,28.19,35.42,32.78333333,30.68,32.31666667,36.23,33.01666667,42.77333333,26.81,28.58,35.43666667,37.90666667,33.96,38.26333333,45.68,42.84666667,39.75666667,41.77,40.34333333,41.65,43.59666667,39.8,36.30333333,43.55186052,42.7296504,45.95666667,49.85333333,51.1,53.6,44.44,46.06,50.44333333,53.36333333,56.02333333,63.24666667,50.37666667,47.68,45.73666667,57.22,59.59333333
15,Bridgeport,Connecticut,100,99.58,106.3933333,102.63,116.4966667,96.04333333,88.04666667,102.2066667,100.7433333,106.2433333,102.5333333,119.5,110.45,89.26333333,94.52,98.39,94.55,97.01666667,115.1966667,115.65,82.65666667,95.82333333,97.83666667,96.46,94.99,114.5266667,113.5133333,84.94,94.12333333,99.55666667,101.7233333,108.42,127.5333333,115.0766667,91.03333333,112.4933333,102.1,106.3,108.7233333,124.5766667,122.23,98.41,100.9566667,101.0433333,102.4533333,104.5733333,123.8133333,124.9466667,90.68333333,100.1633333,102.22,105,106.2133333,120,116.99,93.25,105.0866667,100.9433333,98.17666667,88.03,92.64666667,93.08666667,70.16,74.26333333,66.63,65.21333333,56.81333333,64.89666667,58.34666667,45.61666667,40.67333333,51.04,46.26666667,50.49666667,59.85,46.71666667,34.08,45.83,48.47,52.82333333,45.8,48.73,50.66333333,43.48333333,52.53,51.72666667,47.60666667,46.07666667,51.88,53.70666667,39.56666667,38.51,53.83666667,56.21666667,51.5,59.12,47.86333333,52.23666667,51.44,47.22333333,55.54333333,53.54333333,52.56,66.58666667,39.62666667,49.51333333,64.61,57.78666667,53.48666667,65.91666667,71.90333333,66.06333333,65.50333333,71.91,60.15666667,73.51,64.95666667,69.24333333,61.28666667,61.05566278,60.53759937,77.17,75.73666667,89.40666667,93.62333333,71.28333333,72.61,84.11333333,97.88333333,91.32666667,104.4066667,76.77333333,83.26,73.45,94.48,94.53333333
16,Buffalo,New York,100,104.45,96.85666667,101.2133333,116.7566667,92.77333333,68.95666667,99.89333333,104.1866667,105.1266667,111.7533333,125.2333333,114.09,79.94,107.2066667,110.2666667,106.86,112.44,128.45,119.48,72.44666667,101.01,107.4733333,109.45,107.7866667,108.38,106.23,81.79,104.5033333,109.2633333,109.04,116.2166667,133.2466667,118.1633333,96.24,100.7,102.04,106.1433333,108.6633333,123.9633333,119.4033333,89.51666667,107.58,110.5966667,117.7966667,87.31333333,117.96,118.79,85.91333333,105.1266667,111.1666667,110.0066667,122.42,126.4366667,138.0133333,95.39333333,114.4466667,102.4166667,108.5766667,109.76,114.4566667,99.56,72.78333333,79.95333333,68.28,66.38333333,64.63,63.53,50.36333333,41.59666667,44.59666667,49.08666667,56.46666667,54.23333333,63.59,46.84,47.37333333,47.25333333,49.46333333,58.04666667,56.71,60.35666667,59.65333333,49.61333333,54.97333333,59.99,58.01333333,52.92333333,56.53666667,56.31666667,41.04,46.77333333,54.54,53.05333333,54,58.72666667,58.31333333,45.12666667,64.90333333,53.31666667,55.56333333,55.5,67.31,72.14,47.86,66.65333333,67.91333333,65.89666667,63.92,75.41666667,72.52,72.95666667,68.73,75.06,74.11,73.47666667,75.70666667,72.62,60.33333333,66.55089326,66.13767191,84.9,82.16333333,92.50333333,98.44,76.29,85.23333333,100.58,104.0466667,107.98,110.7666667,101.5366667,92.21333333,86.87,106.68,108.7933333
17,Charlotte,North Carolina,100,101.8266667,106.6033333,108,129.5033333,128.7833333,95.7,102.9933333,107.1333333,103.14,106.08,114.48,128.96,83.55666667,99.26,105.8633333,101.5366667,104.22,114.76,129.73,85.17666667,101.3433333,102.11,105.26,97.01333333,124.0766667,124.22,90.05,103.7433333,105.94,110.3,111.8766667,145.3433333,141.3,93.66,108.36,107.9466667,106.0966667,91.89666667,129.38,146.4166667,92.40666667,100.32,111.8,115.8666667,125.1333333,150.5133333,173.55,108.5433333,113.2866667,108.5566667,110.32,109.7233333,140.1166667,154.6866667,99.26333333,110.8133333,111.6633333,112.5066667,110.7,118.6733333,119.87,74.40333333,82.62666667,77.34333333,74.57666667,73.69333333,80.46,70.47333333,49.67333333,57.69666667,58.8,65.81333333,53.82333333,61.81666667,57.27333333,47.68,58.87,51.85,54.67,59.58666667,64.66666667,59.53,48.11,59.54,59.84333333,60.88333333,63.78,65.14,61.11333333,36.96333333,62.23666667,64.53,63.70333333,66.99,75.44333333,70.03,53.15666667,64.26333333,67.77333333,68.01666667,60.52,77.8,67.89,61.32,72.83666667,73.55666667,72.02333333,72.55333333,84.66666667,78.93,67.66333333,78.08,74.71333333,78.12,84.21,86.62,89.81333333,67.98333333,73.40816547,72.80291302,88.79333333,94.10666667,105.7,102.2333333,82.56,92.34,87.51333333,85.48,90.63333333,109.13,110.5,84.91,85.04333333,101.8366667,92.28666667
18,Chicago,Illinois,100,103.0633333,104.0866667,105.7766667,127.19,118.5933333,86.16333333,96.4,96.37,98.43,100.81,120.85,122.56,84.57666667,94.08333333,95.38666667,96.4,102.0633333,125.4333333,125.65,90.81333333,95.62,95.54,99.18,100.93,120.1233333,132.0866667,87.27333333,97.77,102.48,104.2733333,111.7,147.8233333,153.27,120.8933333,106.87,103.5166667,104.6066667,109.1833333,137.4633333,152.0433333,108.5766667,96.42,96.1,99.13,110.96,139.2133333,150.7833333,110.9,105.27,106.98,109.83,115.1266667,137.0366667,158.6433333,117.43,101.5633333,108.63,104.8,102.94,119.0066667,110.06,70.15666667,64,61.35,48.68666667,47.05,50.39333333,39.50333333,27.94333333,35.59666667,38.49333333,43.15,37.04,41.09333333,37.01,31.29,38.27666667,37.64333333,39.87,41.79333333,47.27333333,39.68666667,35.01333333,39.24333333,45.80666667,40.37666667,39.63333333,46.05666667,44.03,31.74333333,39.12333333,39.27333333,40.44333333,43.41333333,43.86,50.40666667,42.66666667,48.28333333,45.22,43.61333333,45.41666667,49.94333333,44.06,45.18,44.8,47.02666667,42.64666667,48.58333333,59.29666667,64.32666667,51.21,48.63333333,47.74333333,55.12,56.86666667,59.25666667,64.62,43.04,55.46511327,54.5815293,60.22666667,53.53666667,71.51666667,68.56333333,46.19666667,60.94666667,60.43666667,67.35,67.78333333,77.78666667,69.07,67.09666667,61.00333333,69.64333333,70.44333333
19,Cincinnati,Ohio,100,103.4166667,97.44666667,99.17333333,117.01,118.3433333,80.18666667,87.70333333,98.1,96.87666667,99.57,116.8633333,114.67,75.77333333,88.13333333,95.47666667,95.57333333,101.8133333,117.5733333,118.97,79.31666667,93.06,96.12333333,93.82666667,96.48333333,110.63,109.7233333,80.33,93.50333333,99.11,97.68,105.3,128.37,134.14,91.81333333,98.4,98.54,103.87,101.69,127.46,138.8133333,88.46,92.69,101.9766667,101.7066667,101.6066667,129.81,144.4933333,95.41,95.86,108.14,106.8866667,109.91,125.57,147.4166667,94.45666667,107.61,102.3033333,100.1566667,94.56,105.1966667,87.36333333,64.24666667,72.34,69.32333333,62.13,60.97,69.58,57.73,46.24333333,57.83,51.66333333,59.85333333,58.95333333,61.39333333,56.95333333,55.37666667,61.04333333,55.01,58.07666667,63.06333333,70.29333333,61.6,48.06666667,62.88666667,64.60666667,67.55666667,64.77,67.91,62.76333333,44.63,56.28666667,62.29333333,62.14,65.48333333,65.45,69.18333333,55.29333333,70.62,67.71333333,71.23,65.02666667,77.60666667,66.77666667,52.96333333,72.88333333,76.67333333,66.11,71.36666667,86.43,83.00333333,57.07666667,80.28333333,73.03666667,82.26,87.98333333,83.91666667,84.31333333,62.39666667,71.15780415,70.72028313,89.52333333,96.63333333,102.85,100.1366667,87.24333333,90.91,95.62,100.7266667,102.03,124.7,107.46,89.54666667,90.31,111.8866667,115.7433333
20,Cleveland,Ohio,100,104.08,103.1366667,101.0566667,121.23,107.2633333,74.21666667,91.16,98.65333333,98.36333333,100.56,119.5033333,124.5933333,75.5,93.51333333,102.25,99.56333333,102.8466667,118.0666667,120.4533333,80.04333333,100.1166667,100.34,98.36666667,99.15666667,110.9733333,115.0166667,82.75333333,99.30666667,104.8833333,105.0166667,105.6533333,128.44,124.5,90.06666667,102.81,102.2366667,105.6766667,104.0566667,126.4566667,135.0066667,90.34,102.0066667,103.96,105.2433333,101.0466667,121.2266667,130.0966667,88.27333333,102.3966667,108.8266667,109.5766667,116.46,128.1133333,135.95,96.73,107.83,106.5,102.8433333,101.26,108.1733333,94.47,67.64666667,80.28333333,74.49,68.68333333,68.85666667,75.04666667,58.76,51.30333333,56.64666667,52.94,59.10666667,62.78666667,61.93,52.11,52.20333333,54.09333333,58.19,60.15666667,64.62666667,70.40333333,67.01,48.12666667,62.95,60.43333333,66.05666667,60.78666667,66.54666667,69.86333333,45.12,57.6,61.7,61.97333333,65.12666667,65.42666667,69.26,58.13333333,74.46333333,64.53333333,64.32666667,70.22333333,78.30333333,80.13,54.15333333,75.51333333,74.84333333,72.15666667,73.30333333,86.93666667,88.71333333,75.94666667,78.78,80.63666667,82.92333333,88.11333333,86.23,84.88,66.61,73.07908158,72.7548261,97.37333333,89.94,105.79,116.3333333,85.01,93.27,103.1033333,108.59,116.2266667,117.3666667,123.6933333,103.4433333,95.32666667,119.1866667,123.91
21,Colorado Springs,Colorado,100,104.15,103.8833333,105.2166667,123.4066667,114.1,86.33333333,101.59,102.6133333,106.9133333,107.8766667,122.0233333,118.9366667,84.82666667,94.23,96.44,93.16333333,106.66,120.5966667,121.9766667,86.62,85.21333333,80.30333333,90.01,103.6833333,93.98,114.7633333,72.62666667,97.45333333,99.26333333,101.81,115.2433333,143.4,147.6066667,101.4333333,102.1166667,77.30333333,99.53,139.5666667,129.07,126.74,78.2,101.7233333,93.92666667,108.5266667,110.7766667,138.5533333,129.77,91.74666667,98.86,114.52,112.86,113.4166667,140.2833333,141.84,101.5766667,118.6233333,121.4533333,116.7033333,111.63,99.76333333,104.03,79.2,98.53666667,81.25,82.4,62.52666667,65.44,66.65,54.66333333,67.72333333,67.63,67.74666667,51.79,56.45666667,50.54333333,45.39333333,54.16666667,60.89,60.36,56.23666667,53.55666667,55.35,50.86666667,61.63666667,63.98333333,63.83333333,60.49666667,70.67333333,65.33333333,35.64333333,46.07,56.87666667,65.00333333,55.4,70.73666667,64.60666667,54.99,69.44666667,67.81333333,71.34666667,68.83333333,77.91333333,71.84666667,60.30333333,82.16666667,81.34,84.17666667,85.36333333,95.9,84.78,71.96333333,87.19333333,89.8,87.6,91.18333333,98.6,93.90666667,73.74666667,75.11922487,74.76272116,103.85,103.4733333,115.1133333,109.0166667,94.95666667,116.5866667,118.23,118.0433333,119.7966667,133.3433333,123.8366667,88.97,98.35666667,119.74,117.0266667
22,Columbia,South Carolina,100,97.175,91.88,95.21,101.855,91.88,63.46,75.22,76.875,79.48,86.29,92.86,97.13,60.03,74.22,79.28,80.935,98.21,94.345,100.65,64.53,75.185,80.585,81.88,72.795,103.54,101.55,65.1,81.09,85.38,83.695,93.265,121.535,107.285,64.845,80.345,81.515,86.16,82.65,104.565,108.425,65.235,73.965,82.905,84.68,92.37,120.265,144.46,73.685,78.49,80.355,84.17,85.41,111.625,108.96,62.89,73.165,74.895,77.12,79.515,87.74,81.71,53.255,62.48,56.805,53.835,55.775,58.81,50.91,34.28,40.72,39.73,47.25,46.21,51.985,46.02,32.815,42.04,39.87,42.315,45.095,50.22,41.915,33.785,44.995,42.87,42.785,46.13,48.945,43.16,25.195,44.975,49.795,51.55,53.16,60.195,51.97,35.755,50.455,54.37,54.125,50.415,62.02,56.665,44.315,55.255,58.145,57.61,59.89,70.485,63.42,49.095,63.1,64.035,66.705,68.835,76.525,74.525,51.8,55.79080753,55.4623972,75.29,79.11,91.57,85.835,65.55,78.235,78.14,76.59,87.12,98.615,92.965,65.62,68.265,82.845,78.995
23,Columbus,Ohio,100,105.78,103.1966667,103.3,114.0233333,109.46,76.25333333,86.63666667,96.46666667,100.88,99.84,113.9966667,111.34,72.83666667,90.18,100.3266667,97.02666667,100.7566667,117.75,122.2166667,83.40666667,95.11,97.31333333,94.71333333,98.17,108.87,109.5166667,79.19,98.29666667,99.39,103.74,104.7533333,130.5633333,126.1033333,87.09666667,96.51666667,97.77666667,100.8966667,104.52,124.2433333,134.7266667,86.91333333,94.61,99.72666667,101.74,99.96333333,120.93,129.34,94.08333333,95.25,102.5466667,106.6833333,113.76,121.11,123.2366667,92.28333333,95.72333333,91.03,92.62,86.75333333,92.05666667,77.17666667,59.82333333,65.37,64.36333333,58.41,57.29,65.06666667,51.99666667,45.79333333,52.62666667,47.86666667,56.24666667,56.86,54.45,49.53666667,48.9,51.47666667,52.15333333,54.58333333,58.76333333,64.23333333,59.19333333,43.35,59.85,56.83,62.43333333,55.19666667,59.52,56.59,37.24333333,52.11666667,55.22,56.51666667,58.16666667,58.30666667,61.75666667,50.69666667,64.65,60.6,61.00666667,58.00666667,71.39666667,65.46,47.46,66.99666667,65.65666667,60.87333333,64.55333333,73.53333333,73.64666667,57.24666667,74.29666667,67.08,72.21333333,74.52,74.40666667,73.34,56.33666667,65.43531495,64.96913182,85.52333333,80.91333333,91.95,95.32,79.53666667,78.71333333,85.71,86.55,88.02666667,105.4766667,102.7666667,85.36,81.42333333,99.96666667,103.31
24,Concord,California,100,103.9433333,103.5433333,95.65,121.3866667,113.2833333,78.29666667,95.41333333,101.7633333,106.0566667,104.5266667,118.26,115.8833333,83.05,97.69,104.94,104.1366667,109.4833333,113.3666667,112.8966667,73.45666667,96.72333333,101.8166667,105.8666667,107.8433333,118.2133333,124.8766667,88.46333333,105.8333333,106.7,104.8033333,118.3766667,130.1466667,116.5733333,90.37333333,100.8266667,114.7766667,106.6233333,107.0966667,125.1633333,126.62,96.14,103.3033333,109.0733333,109.7766667,108.1933333,117.9333333,121.94,87.72333333,99.45333333,112.37,105.5166667,108.19,115.0566667,107.26,79.62666667,94.31,98.08666667,96.68,97.20333333,93.85,67.45333333,49.48666667,62.10333333,46.01333333,42.66,45.38666667,44.63333333,39.14,33.92333333,38.12333333,36.52,37.36333333,40.07,41.61333333,34.37666667,31.35333333,39.96666667,41.60666667,42.51666667,42.06,45.86,35.45666667,25.82666667,35.69666667,42.48,42.13,42.69,46.75333333,42.97666667,30.78333333,43.05,44.03,43.76666667,44.84333333,46.30666667,48.22666667,40.71,42.87333333,44.99333333,45.86333333,45.36666667,49.59333333,49.92333333,40.47333333,46.22333333,48.73,46.27666667,50.41666667,56.02,52.45,46.37666667,49.68333333,55.32,55.00333333,53.99,63.10333333,61.79333333,48.45333333,53.00594812,52.44428098,62.05333333,64.03,75.50333333,73.3,56.15666667,63.51666667,72.74,71.75,72.56666667,84.51,76.48333333,65.37333333,58.87666667,72.76666667,74.12333333
25,Corpus Christi,Texas,100,101.4666667,100.42,102.9666667,114.6633333,112.9366667,86.17,98.36333333,101.7966667,93.97333333,101.8433333,111.0266667,119.79,80.79666667,100.79,107.2766667,96.77,102.3366667,121.8833333,118.4566667,72.02333333,100.1566667,108.02,100.3633333,104.8066667,114.1633333,123.06,77.96333333,105.1866667,96.95333333,104.9866667,121.3866667,138.7366667,129.9766667,97.89333333,113.2,117.6033333,105.7033333,110.19,135.23,126.69,91.91333333,101.3733333,110.4833333,103.7366667,108.57,128.37,142.2433333,95.13333333,111.7,120.1466667,110.5866667,122.5833333,149.1566667,148.7333333,111.6333333,137.81,134.33,139.83,132.1966667,145.6166667,154.4466667,99.76,122.4866667,106.0433333,99.06333333,93.07333333,98.25666667,67.35333333,54.63333333,75.08333333,67.51333333,66.62666667,67.52333333,65.50666667,54.72,44.45333333,58.58,61.18,65.98666667,61.65666667,72.69333333,49.05666667,47.41,59.98666667,62.96333333,68.91666667,63.52666667,66.97666667,56.74333333,36.40333333,62.37666667,61.29666667,68.88666667,68.90666667,79.73,65.79333333,54.27333333,76.77666667,70.28666667,72.39333333,76.29333333,89.32,85.21666667,63.85333333,76.12,82.01666667,76.05,81.48666667,105.3833333,107.7333333,82.11333333,94.66,95.24666667,93.89666667,99.48666667,113.96,109.9733333,79.83666667,84.08592298,83.8029287,104.6066667,106,125.8366667,118.4366667,105.61,116.3233333,120.5833333,119.1933333,121.1,158.9333333,184.9266667,148.31,114.8266667,114.2633333,119.93
26,Dallas,Texas,100,103.4766667,103.9133333,100.4533333,118.56,126.52,87.06,101.3733333,102.3333333,95.90333333,103.6333333,121.81,125.32,81.47333333,100.36,97.23333333,96.19666667,99.12,119.8266667,126.7233333,84.56,98.78333333,97.00333333,84.82333333,100.5666667,119.7433333,128.26,81.49666667,98.34666667,96.02,100.6166667,111.0266667,138.9133333,135.1166667,102.2166667,109.1533333,101.83,101.9033333,107.2833333,130.52,135.42,87.16666667,105.1666667,106.03,105.1666667,114.9633333,142.02,153.2466667,101.9266667,106.25,108.3333333,101.15,118.55,137.0433333,136.67,93.38,104.89,114.8433333,114.6233333,107.2866667,103.37,95.54666667,65.07333333,79.60333333,70.06333333,68.02,65.50666667,65.60666667,57.61333333,42.24333333,55.71666667,54.4,52.25666667,52.91,57.92666667,52.80333333,42.13,45.57333333,53.21,53.40666667,50.36,51.37,43.89,38.97333333,50.47666667,54.48333333,55.57666667,54.43666667,62.78666667,50.47,39.43666667,52.14666667,52.61333333,57.47333333,58.96333333,61.57,59.86666667,47.07,60.47333333,60.30666667,57.48333333,65.40666667,70.60333333,65.83666667,52.80666667,60.96333333,63.74333333,65.80666667,68.06333333,79.65666667,74.06333333,60.13,71.11,74.46333333,74.79666667,74.92333333,84.87333333,85.31,61.79333333,68.15153098,67.58925927,82.52333333,86.71,95.52666667,77.25,77.35,88.85666667,92.94,92.62,93.61,110.1966667,103.3233333,76.34333333,68.55666667,94.32333333,98.11333333
27,Davenport,Iowa,100,114.875,102.9,112.47,101.775,115.285,91.405,104.065,105.69,99.685,110.365,122.195,159.445,97.79,98.7,105.52,108.48,120.145,140.72,172.485,109.54,118.325,105.405,104.75,118.37,132.325,162.675,102.765,104.22,108.455,110.27,149.88,160.22,168.14,119.435,114.275,112.995,110.19,116.995,147.56,177.35,122.12,108.31,104.915,118.465,130.155,176.115,180.85,121.085,120.71,122.555,129.355,126.79,161.115,184.415,124.725,110.9,118.575,126.88,128.765,143.9,149.455,90.46,97.545,107.395,81.255,88.955,94.175,77.125,53.9,72.995,81.215,80.395,78.235,84.725,78.165,63.64,96.605,84.875,90.805,87.245,98.68,85.685,75.025,90.015,105.51,99.55,98.535,119.745,92.635,58.025,89.325,94.385,92.33,104.525,104.67,116.47,90.775,114.415,115.485,106.72,120.7,111.295,103.12,95.395,113.085,114.01,107.065,130.4,142.42,126.53,109.51,118.47,111.06,134.655,134.965,152.79,143.68,97.66,105.4082989,105.0971562,140.89,140.54,182.145,167.23,121.605,150.95,165.02,164.685,174.11,202.945,185.63,142.775,134.82,188.565,178.65
