,region,sub-region,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27
1192,Sweetwater County,Wyoming,100.0,113.57,123.79,117.38,134.85,181.85,122.08,107.09,104.24,104.42,120.39,133.1,127.72,117.56,103.93,111.15,109.12,125.27,195.36,178.32,193.89,88.06,112.62,120.39,100.31,125.18,158.61,119.74,106.36,112.16,114.34,135.8,188.76,153.52,140.77,146.82,112.59,112.04,129.54,142.62,139.45,128.58,137.64,119.1,124.75,146.39,160.76,158.98,167.82,159.35,115.81,120.94,141.85,151.46,162.73,136.87,124.1,120.57,133.01,146.42,195.82,203.35,163.92,147.9,145.41,157.05,115.69,153.27,179.34,134.76,119.86,120.54,104.27,122.44,123.03,133.13,97.08,100.12,112.5,114.55,96.62,118.61,117.5,95.55,101.35,97.54,108.26,119.04,121.31,120.91,76.57,90.67,97.67,104.94,134.33,132.85,139.24,114.06,110.68,120.72,115.97,132.12,151.12,152.69,141.63,125.73,138.32,142.06,164.81,188.92,189.81,163.65,147.71,154.01,163.13,173.78,185.94,184.37,156.52,0.0,0.0,172.4,199.08,217.53,219.68,203.75,185.2,201.26,205.65,237.61,295.7,260.73,228.06,249.59,203.87,214.28
1193,Talbot County,Maryland,100.0,104.49,102.0,116.54,136.76,117.69,98.67,109.67,98.97,106.16,117.66,126.51,132.02,103.46,104.71,101.3,106.72,105.31,123.4,117.34,87.67,101.95,111.4,98.92,98.6,125.03,128.41,106.41,102.51,98.95,103.36,110.05,158.91,155.02,126.71,134.25,109.67,115.13,108.17,138.94,137.73,100.95,100.43,108.14,113.41,113.78,141.74,133.95,103.31,117.14,117.89,121.22,126.16,146.6,156.9,121.4,122.95,117.36,126.01,120.9,134.65,120.2,88.07,89.35,80.71,93.01,89.0,101.65,73.14,61.49,58.56,68.2,62.99,76.07,85.74,72.64,61.09,73.37,66.37,59.93,61.44,66.8,58.78,48.11,66.0,73.11,73.54,66.85,85.89,74.92,45.15,59.08,81.86,82.31,86.19,98.0,76.35,60.74,75.29,79.18,89.95,86.67,93.66,96.14,62.74,75.12,88.35,88.5,75.02,105.61,99.92,74.39,96.32,95.26,88.72,107.77,120.92,122.53,86.77,0.0,0.0,124.98,128.31,171.81,176.85,129.89,117.49,126.51,123.45,152.54,174.27,199.85,154.55,164.39,159.11,154.52
1194,Talladega County,Alabama,100.0,91.39,100.14,103.37,133.23,118.51,89.01,107.0,94.7,99.41,96.82,118.83,115.08,80.31,91.05,94.57,95.29,93.91,118.02,115.46,85.39,96.28,94.96,88.74,93.79,116.51,119.72,94.12,91.41,100.32,95.22,110.93,141.3,129.08,96.95,117.96,102.03,115.8,104.21,134.69,127.07,95.72,93.86,107.09,108.41,120.2,145.09,133.75,107.55,100.85,102.92,111.21,116.13,158.21,149.19,110.13,115.15,106.61,114.62,118.65,126.68,126.36,88.36,94.54,93.81,94.97,93.5,98.01,97.62,67.11,68.73,79.88,87.93,87.83,93.52,88.45,65.23,77.54,70.35,77.04,82.12,85.49,73.44,54.15,73.58,70.31,71.23,78.29,90.06,80.08,39.15,76.89,75.11,80.84,90.55,107.16,101.86,53.05,88.52,93.7,92.98,84.26,116.03,109.94,88.95,97.21,97.9,92.55,106.5,131.0,131.06,105.62,110.57,107.66,115.44,123.03,135.59,142.97,99.67,0.0,0.0,122.31,129.79,148.73,168.94,114.3,122.44,127.73,140.42,158.04,176.61,168.47,137.01,139.43,127.57,119.63
1195,Tallapoosa County,Alabama,100.0,107.94,105.14,112.88,150.68,135.58,108.37,131.41,110.94,109.93,115.88,147.61,137.68,102.61,106.7,108.52,107.16,119.35,154.53,148.81,103.23,112.14,114.83,106.23,107.63,146.67,156.09,121.25,121.14,109.73,122.65,117.94,146.4,169.72,124.09,125.69,114.67,104.87,128.1,192.57,168.51,119.23,112.88,126.39,130.25,139.55,178.71,199.1,136.86,113.47,115.8,118.8,127.87,185.29,179.6,117.48,144.92,134.99,138.3,135.69,153.68,181.59,138.03,136.08,132.43,144.22,146.67,161.0,157.65,94.55,106.58,119.42,146.79,140.4,179.95,195.83,122.19,122.85,101.13,114.17,109.85,143.79,151.58,104.9,104.28,101.56,97.55,124.17,137.25,131.88,61.81,113.59,120.9,114.32,142.39,174.46,187.78,99.81,170.03,178.32,163.6,119.42,205.49,248.42,151.11,155.43,178.28,138.34,175.55,237.02,296.54,242.62,181.24,174.78,190.07,187.47,205.18,256.44,171.66,0.0,0.0,176.64,214.6,272.91,348.93,225.26,211.13,226.66,213.12,252.9,307.51,399.42,334.88,336.78,214.95,185.36
1196,Taney County,Missouri,100.0,89.9,90.19,103.95,112.93,187.68,140.59,118.03,96.28,81.05,95.98,123.31,167.67,122.16,101.04,95.05,92.12,105.61,139.61,175.09,104.44,91.73,89.64,71.44,97.14,132.38,182.14,133.65,116.7,115.85,101.84,123.31,218.66,302.87,214.8,137.18,111.26,118.21,125.69,193.24,245.29,158.14,117.82,116.44,117.92,133.67,196.3,270.7,179.68,137.82,137.34,136.05,148.62,241.08,347.84,248.39,210.33,239.46,233.46,237.87,302.79,332.92,244.92,206.66,186.83,150.27,112.24,109.35,99.38,55.48,62.97,55.38,66.9,70.38,68.29,62.04,58.53,53.53,58.25,56.85,54.02,58.32,54.72,46.55,51.95,54.2,63.26,59.23,65.82,63.21,40.72,58.35,62.85,74.56,66.64,70.75,89.08,58.72,70.62,77.04,64.66,74.08,75.86,87.97,88.97,77.12,79.22,85.13,100.85,111.33,123.45,84.74,85.02,105.63,105.11,103.97,131.55,153.29,113.25,0.0,0.0,119.06,129.75,158.45,181.17,163.42,162.58,165.95,176.68,194.88,289.18,420.55,372.76,273.71,193.52,187.02
1197,Tangipahoa Parish,Louisiana,100.0,108.56,106.03,111.81,139.93,126.93,96.72,108.48,113.64,110.49,117.36,135.06,129.54,90.89,105.18,110.77,113.23,119.76,135.95,135.46,94.03,108.79,112.44,106.45,118.69,139.78,135.15,100.3,108.05,118.03,117.68,130.71,171.65,146.64,100.23,114.08,117.17,117.35,127.38,165.77,140.71,109.83,123.23,112.44,134.32,151.49,160.95,162.49,119.71,122.07,126.77,118.9,143.98,167.04,185.18,123.2,133.47,129.2,134.35,141.41,153.18,142.06,104.1,111.36,100.33,92.14,94.56,102.6,86.47,62.36,70.63,69.94,71.64,76.29,80.88,69.55,57.74,71.35,69.16,72.16,75.7,80.75,67.04,56.92,70.09,74.78,73.97,79.97,85.55,76.02,46.95,80.87,83.26,88.89,93.22,99.27,83.84,64.76,90.31,93.14,93.39,89.03,115.15,99.06,78.7,95.7,96.83,95.67,110.88,125.61,107.44,92.35,114.64,120.39,115.83,124.52,120.85,126.43,91.21,0.0,0.0,127.43,126.47,146.64,138.61,112.1,133.63,141.08,141.86,151.14,173.64,153.46,124.45,126.07,138.03,150.82
1198,Taos County,New Mexico,100.0,101.93,105.42,108.0,155.52,181.8,171.23,150.78,91.68,96.5,110.04,133.55,151.23,137.04,94.86,93.81,98.83,118.88,132.78,146.89,122.98,103.42,81.48,110.04,113.86,139.73,168.7,152.87,108.48,90.6,109.24,146.2,224.91,262.31,240.14,200.96,141.42,131.06,157.17,190.28,216.03,196.67,132.78,116.23,124.11,138.85,170.79,188.35,168.54,112.9,110.2,114.46,123.38,166.65,227.64,240.38,221.7,234.15,211.29,204.34,208.24,239.69,244.4,196.87,159.86,101.17,68.7,70.87,64.44,49.62,49.1,39.65,37.0,35.8,38.01,35.76,31.74,32.7,37.12,37.08,36.68,38.21,37.81,34.79,39.37,35.68,35.32,40.58,44.27,43.15,29.33,33.15,38.33,48.33,39.37,48.09,56.97,47.97,47.21,48.29,46.56,48.69,51.31,58.58,53.84,47.81,54.28,61.07,62.07,65.33,78.59,65.69,68.42,63.08,72.0,60.51,81.8,83.45,76.62,0.0,0.0,71.43,80.35,91.52,106.11,102.81,98.19,89.03,100.8,109.68,143.23,191.04,191.72,156.77,116.51,124.23
1199,Tarrant County,Texas,100.0,104.19,104.19,108.62,125.17,124.97,85.01,100.93,104.14,100.46,107.23,130.43,127.62,84.38,102.06,98.58,99.31,105.01,124.49,123.39,80.89,100.41,100.9,86.75,106.01,124.83,125.02,83.09,99.98,101.27,106.19,114.53,141.04,129.15,95.53,107.4,106.39,107.56,113.45,136.31,137.62,89.65,106.94,110.87,113.76,121.97,142.68,146.93,99.71,108.04,113.79,109.68,123.67,144.93,137.17,93.51,107.93,117.12,115.79,111.12,109.31,95.84,68.06,84.05,77.73,75.12,71.47,75.25,63.13,43.73,59.74,60.79,54.51,56.85,63.76,55.33,42.41,51.75,58.37,59.1,57.61,61.89,50.6,40.58,55.43,59.45,61.05,61.9,71.46,56.62,40.95,59.53,60.66,67.66,69.9,75.56,70.54,52.8,69.93,69.91,68.05,76.28,85.18,77.67,59.78,72.66,75.45,78.32,82.09,95.46,88.2,68.05,84.38,88.32,89.71,90.75,103.87,100.04,72.24,0.0,0.0,97.12,102.39,114.27,92.13,86.63,103.65,108.86,109.0,111.59,128.27,116.63,85.63,79.58,108.33,113.36
1200,Tate County,Mississippi,100.0,98.25,100.32,105.6,123.71,110.52,82.25,101.47,102.58,98.85,93.41,123.91,123.75,81.37,98.69,104.73,87.25,106.24,127.56,119.62,97.7,98.09,92.1,89.99,98.53,115.65,119.02,93.69,98.97,106.12,97.66,117.63,139.95,131.69,100.36,120.77,88.48,101.35,109.69,131.69,124.58,94.56,101.55,114.26,108.22,122.8,146.43,140.39,138.05,115.49,112.55,115.41,124.42,160.37,146.78,107.63,109.02,113.54,106.79,114.02,116.24,123.15,85.11,93.8,89.12,86.06,83.76,83.2,84.91,60.21,72.0,68.11,71.45,86.74,90.23,74.31,71.8,72.6,71.05,76.69,83.72,80.26,75.18,67.59,79.9,80.1,75.77,78.59,87.25,88.8,48.65,89.0,93.37,94.4,99.64,104.57,99.48,63.22,105.36,100.16,84.63,92.57,117.99,94.56,99.36,97.18,94.88,105.76,110.17,123.35,125.38,90.83,111.4,108.86,107.43,121.21,115.85,140.47,95.75,0.0,0.0,118.98,125.69,140.35,139.44,96.74,134.23,140.55,139.4,152.46,160.13,155.76,125.02,111.76,129.47,137.37
1201,Tattnall County,Georgia,100.0,101.26,97.03,107.21,141.17,135.5,84.59,108.47,104.5,111.53,111.08,137.39,106.13,80.99,96.4,105.95,98.56,112.79,118.74,122.43,89.73,107.3,112.97,110.9,108.11,123.15,117.84,94.23,118.65,114.77,117.3,125.05,160.99,136.58,87.75,114.77,111.98,100.72,118.83,143.42,147.39,100.36,106.22,116.94,124.86,130.99,156.4,131.35,105.05,108.29,120.0,102.97,107.84,145.32,146.31,105.86,115.5,135.05,128.29,132.52,145.14,136.31,99.01,113.51,103.15,101.89,112.97,107.84,102.25,69.37,85.86,98.83,92.88,98.56,111.98,90.0,76.67,101.17,85.86,99.37,94.14,96.04,71.89,64.5,92.52,88.56,87.93,108.47,101.44,90.9,59.46,88.2,94.32,109.64,123.51,110.63,105.86,75.86,109.73,117.03,116.76,98.65,122.97,115.41,88.38,124.14,116.22,114.23,129.01,139.19,136.13,107.03,113.33,125.41,135.5,131.44,152.97,126.31,118.74,0.0,0.0,146.85,161.71,184.05,185.14,126.58,150.36,153.87,139.55,171.8,183.06,180.72,151.71,141.53,165.86,181.44
