,fips,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28
10,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,3.0,7.0,4.0,9.0,5.0,10.0,5.0,10.0,9.0,11.0,9.0,16.0,10.0,20.0,10.0,23.0,10.0,25.0,12.0,25.0,14.0,27.0,16.0,28.0,18.0,29.0,20.0,29.0,22.0,29.0,23.0,30.0,23.0,29.0,25.0,32.0,26.0,34.0,27.0,36.0,27.0,37.0,28.0,39.0,30.0,43.0,31.0,44.0,33.0,44.0,35.0,45.0,38.0,45.0,40.0,46.0,41.0,46.0,44.0,49.0,48.0
11,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,7.0,3.0,7.0,5.0,7.0,6.0,7.0,7.0,7.0,10.0,8.0,13.0,9.0,16.0,9.0,23.0,16.0,23.0,16.0,27.0,22.0,27.0,22.0,29.0,25.0,29.0,27.0,32.0,29.0,37.0,30.0,39.0,33.0,44.0,37.0,47.0,37.0,48.0,44.0,85.0,46.0,89.0,50.0,91.0,53.0,94.0,54.0,94.0
12,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,6.0,4.0,6.0,6.0,7.0,8.0,11.0,8.0,13.0,8.0,16.0,8.0,16.0,8.0,16.0,8.0,17.0,8.0,16.0,8.0,17.0,10.0,18.0,12.0,20.0,14.0,24.0,18.0,25.0,18.0,27.0,23.0,30.0,22.0,34.0,29.0,35.0,30.0,38.0,32.0,42.0,32.0,43.0,38.0,51.0,40.0,52.0,45.0,57.0,52.0,68.0,60.0,69.0
13,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,4.0,5.0,4.0,6.0,5.0,6.0,6.0,8.0,6.0,8.0,6.0,8.0,6.0,11.0,7.0,12.0,7.0,12.0,7.0,12.0,7.0,12.0,7.0,12.0,9.0,12.0,9.0,12.0,10.0,12.0,12.0,13.0,12.0,14.0,12.0,14.0,13.0,14.0,13.0,14.0,13.0,14.0,13.0,14.0,13.0,14.0,13.0,14.0,13.0,14.0,13.0,14.0,13.0,14.0
14,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,6.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,4.0,9.0,4.0,9.0,4.0,9.0,4.0,9.0,4.0,9.0,4.0,9.0,4.0,9.0,4.0,9.0,4.0,9.0,4.0,9.0,4.0,9.0,4.0,9.0
15,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,,1.0,0.0,5.0,2.0,5.0,3.0,5.0,3.0,10.0,4.0,13.0,18.0,18.0,18.0,22.0,25.0,26.0,29.0,30.0,34.0,34.0,39.0,41.0,46.0,41.0,54.0,44.0,61.0,46.0,65.0,52.0,66.0,64.0,70.0,64.0,74.0,67.0,76.0,70.0,76.0,74.0,81.0,77.0,82.0,80.0,84.0,82.0,89.0,86.0,98.0,86.0,103.0,93.0,107.0,99.0,117.0,102.0,122.0
16,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,7.0,6.0,9.0,7.0,9.0,7.0,13.0,9.0,14.0,9.0,14.0,9.0,18.0,9.0,20.0,13.0,24.0,17.0,24.0,18.0,26.0,25.0,38.0,26.0,40.0,30.0,42.0,32.0,47.0,36.0,51.0,40.0,53.0,45.0,65.0,46.0,71.0,54.0,82.0,60.0,95.0,66.0,95.0
17,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,8.0,0.0,10.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,3.0,9.0,4.0,9.0,5.0,9.0,7.0,10.0,8.0,10.0,8.0,11.0,10.0,12.0,10.0,14.0,11.0,14.0,14.0,16.0,19.0,16.0
18,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,12.0,6.0,12.0,7.0,13.0,7.0,15.0,7.0,16.0,8.0,16.0,12.0,17.0,12.0,17.0,13.0,18.0,13.0,18.0,11.0,19.0,11.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,14.0,19.0,14.0,20.0,14.0,20.0,14.0,20.0,13.0,20.0,13.0,20.0,13.0,20.0,14.0,20.0,14.0,21.0
19,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,5.0,5.0,5.0,6.0,7.0,6.0,10.0,7.0,11.0,8.0,13.0,9.0,15.0,11.0,16.0,13.0,18.0,13.0,20.0,14.0,21.0,15.0,21.0,17.0,26.0,19.0,26.0,20.0,26.0,22.0,28.0,22.0,31.0,24.0,32.0,24.0,32.0,24.0,33.0,24.0,34.0,24.0,35.0,25.0,38.0,25.0,40.0,27.0,44.0,31.0,46.0
